"","X","Track.Name","Artist.Name","Genre","Beats.Per.Minute","Energy","Danceability","Loudness..dB..","Liveness","Valence","Length","Acousticness","Speechiness","Popularity"
"1","1","Senorita","Shawn Mendes","canadian pop","117","55","76","-6","8","75","191","4","3","79"
"2","2","China","Anuel AA","reggaeton flow","105","81","79","-4","8","61","302","8","9","92"
"3","3","boyfriend (with Social House)","Ariana Grande","dance pop","190","80","40","-4","16","70","186","12","46","85"
"4","4","Beautiful People (feat. Khalid)","Ed Sheeran","pop","93","65","64","-8","8","55","198","12","19","86"
"5","5","Goodbyes (Feat. Young Thug)","Post Malone","dfw rap","150","65","58","-4","11","18","175","45","7","94"
"6","6","I Don't Care (with Justin Bieber)","Ed Sheeran","pop","102","68","80","-5","9","84","220","9","4","84"
"7","7","Ransom","Lil Tecca","trap music","180","64","75","-6","7","23","131","2","29","92"
"8","8","How Do You Sleep?","Sam Smith","pop","111","68","48","-5","8","35","202","15","9","90"
"9","9","Old Town Road - Remix","Lil Nas X","country rap","136","62","88","-6","11","64","157","5","10","87"
"10","10","bad guy","Billie Eilish","electropop","135","43","70","-11","10","56","194","33","38","95"